student_id,name,attendance,assignment,quiz,lab,midterm_exam,final_exam
0,Andrew Mahmood,80,54,87,64,38,68
1,Thomas Martin,21,67,81,55,78,96
2,Dr Bradley Lambert,49,91,20,99,38,76
3,Christine Reynolds,67,40,63,46,27,93
4,Mrs Catherine Watson,45,29,85,63,71,31
5,Jeremy Thomas-Taylor,22,27,85,48,31,74
6,Edward Palmer,76,34,74,37,89,60
7,Hazel Smith-Coleman,99,91,40,26,91,41
8,Joyce Evans-Murphy,84,30,71,97,73,96
9,Mr Gerald Osborne,80,81,97,69,89,23
10,Eileen Burgess,30,44,53,65,66,69
11,Alison Singh,59,34,52,50,62,66
12,Sara Owen-Sutton,67,85,93,84,42,23
13,Dr Marion Jones,68,75,24,86,23,48
14,Iain Duncan,74,25,69,46,97,33
15,Jason Gray,90,48,42,29,55,24
16,Ms Karen Higgins,75,55,83,64,97,26
17,Katy Moss-Ashton,85,78,67,46,63,56
18,Mr Keith Cooper,78,80,81,50,41,79
19,Ms Victoria Robson,90,66,43,44,48,97
20,Mr Ross Thompson,20,54,63,42,50,21
21,Mr Clive Williams,84,25,51,99,34,66
22,Dr Lesley Davies,89,84,39,23,61,55
23,Rosie Bishop,35,49,87,84,81,82
24,Mr Aaron Murphy,100,65,53,76,40,77
25,Joyce Brooks,57,98,25,55,62,85
26,Mr Craig Jones,76,47,56,86,52,23
27,Miss Marion Wilson,20,23,36,91,54,73
28,Daniel Fry,37,50,45,75,80,27
29,Ms Hannah Smith,91,92,99,53,25,73
30,Ms Georgina Wall,75,95,31,71,45,94
31,Tom Lawrence,91,64,67,69,92,40
32,Marcus Chambers-Dixon,22,39,23,24,29,73
33,Josh Knight,88,45,68,32,65,44
34,Grace Davies,59,54,89,82,99,98
35,Ms Anna Henderson,35,47,88,96,70,94
36,Dr Grace Harrison,51,29,72,65,61,30
37,Gerald Gibson,62,38,31,59,59,43
38,Mrs Susan Williams,75,66,42,23,46,82
39,Jessica Stone,99,76,82,42,27,96
40,Michelle Jenkins,63,78,50,61,32,48
41,Dr Brian Hale,20,66,66,55,45,75
42,Dr Kerry Wood,57,48,86,38,84,62
43,Dr Phillip Mills,40,84,79,69,97,84
44,Elliot Dyer,51,78,78,26,49,72
45,Georgia Bibi,88,70,86,76,26,33
46,Nigel Graham,90,93,59,64,22,61
47,Gerard Burke,83,66,100,59,41,37
48,James Mann,81,48,89,37,52,83
49,Marion Barton-Smith,25,74,66,56,72,100
50,Tracey Parker-Johnston,96,56,69,97,61,38
51,Mr Gareth Marsden,36,53,24,97,68,72
52,Steven Evans,74,99,53,63,72,68
53,Ms Melanie Clayton,83,69,71,43,41,46
54,Lewis Pugh,52,34,54,86,26,65
55,Amelia Watkins,59,37,59,47,23,91
56,Denis Mason,59,25,21,41,45,40
57,Phillip Williams-Reid,45,57,44,43,59,89
58,Wendy Anderson,22,97,33,66,83,88
59,Aimee Gill,45,77,32,87,20,36
60,Kelly Douglas,70,84,82,57,79,65
61,Dr Gail Ryan,69,73,86,23,55,22
62,Dr Samuel West,39,82,66,33,74,90
63,Miss Paula Murphy,71,97,67,29,36,64
64,Mr Terry Morris,27,49,33,74,30,27
65,Denis Harris,21,51,23,34,92,98
66,Howard Walker,23,95,49,95,80,100
67,Dr Frances Cook,46,78,63,74,89,60
68,Ashley Jones-Williams,50,70,31,97,63,27
69,Billy Jones,66,38,58,35,82,96
70,Mathew Peters-Roberts,37,55,21,45,49,35
71,Ms Sylvia Chambers,81,75,63,71,60,63
72,Lawrence Collins-Baker,96,68,82,63,44,99
73,Dr John Wright,88,99,66,28,49,63
74,Shaun Ford,69,54,98,92,36,89
75,Miss Jean Butler,76,55,52,63,73,33
76,Chloe Brookes,35,95,100,83,42,66
77,Richard Lloyd,90,39,96,99,93,55
78,Alan Watson-Lucas,68,62,59,67,65,62
79,Gerald Austin,84,96,78,29,42,99
80,Mr Dominic Lawson,71,46,61,99,66,98
81,Mr Elliot Begum,64,38,57,63,62,70
82,Ben Taylor,25,86,62,88,29,87
83,Denis Whitehead,32,52,40,82,31,59
84,Kim Owen,41,76,49,56,28,49
85,Miss Abbie Dawson,44,45,55,35,47,95
86,Mr Darren Butler,43,81,59,78,36,81
87,Dr Jake Holland,70,76,79,69,66,54
88,Conor Nelson,45,50,95,87,82,84
89,Andrea Williams,98,63,65,71,59,37
90,Mrs Anne Bennett,23,29,57,69,57,81
91,Jay Jones,39,86,73,93,60,42
92,Ross Fleming,53,74,72,26,38,26
93,Stacey West,77,34,87,59,51,40
94,Dr Leonard Lewis,46,35,90,68,85,82
95,Ms Sophie Williams,59,96,31,44,38,49
96,Nicola Begum,68,87,52,87,66,44
97,Frances Thomson,36,46,90,33,50,53
98,Allan Simpson,24,88,89,76,33,82
99,Dr Leonard Patel,99,86,43,92,27,75
100,Sylvia Barnett,58,22,83,69,65,71
101,Jade Parker-Williamson,30,29,89,86,78,91
102,Lawrence Evans,90,71,89,21,84,67
103,Kathleen May,73,38,23,62,29,87
104,Andrea Anderson,99,55,59,48,58,72
105,Mrs Debra Carter,55,85,70,87,30,25
106,Jonathan Thompson,56,66,56,64,30,35
107,Dr Roger Shaw,25,34,38,28,97,39
108,Louise Jackson,37,84,88,41,42,90
109,Ms Molly Graham,65,48,71,22,38,56
110,Dominic Morgan-Frost,78,92,78,61,41,52
111,Mr Terence Dean,21,56,75,75,46,41
112,Stanley Kemp-Harris,22,99,65,65,57,32
113,Adam Ward,98,82,67,73,65,61
114,Dylan Jones,25,92,58,88,87,99
115,Brenda Harris,91,21,58,99,91,60
116,Jason Robson,37,27,60,50,89,46
117,Ms Sophie Dennis,35,31,28,98,42,75
118,Dr Adam Mellor,63,54,25,75,48,67
119,Ms Dawn Evans,60,63,26,100,60,81
120,Dorothy Taylor,46,48,99,28,32,81
121,James Tucker,83,40,85,45,79,88
122,Mr John Lambert,69,63,44,37,95,41
123,Miss Louise Wood,87,80,77,39,34,45
124,Miss Aimee Jones,72,47,42,52,99,29
125,Mr John Martin,61,80,77,86,31,75
126,Caroline Smith-Smith,70,45,41,93,42,93
127,Abdul Jackson,38,30,89,41,61,100
128,Mrs Samantha Burgess,95,41,25,49,80,82
129,Jacqueline Vincent,37,40,31,78,97,91
130,Mr Benjamin Marshall,91,49,39,83,38,55
131,Linda Adams,86,90,96,51,87,100
132,Mohamed Akhtar-Oliver,53,52,30,70,40,90
133,Julia Thompson,54,89,93,23,74,96
134,Roy Whitehead-Murphy,25,77,86,36,45,100
135,Christine Matthews,75,91,43,27,22,21
136,Duncan Watson,35,88,38,71,58,91
137,Justin King-Khan,46,31,76,88,31,85
138,Louise Green-Brown,42,57,28,40,71,23
139,Hannah Walker-Herbert,62,21,39,33,30,21
140,Mr Max O'Neill,54,67,53,58,65,35
141,Dylan Gough-Barker,94,41,76,96,32,75
142,Callum Woods,72,67,55,66,33,33
143,Dr Conor Lane,61,55,49,61,52,81
144,Ellie George,81,63,20,35,30,71
145,Josephine Kelly,20,40,49,76,83,88
146,Bethany Lane,70,69,28,31,40,97
147,Dr Keith Taylor,77,41,77,59,90,58
148,Mrs Marilyn Burns,50,26,20,45,60,83
149,Dr Nicholas Cooke,70,91,60,42,37,28
150,Lauren Ahmed,72,36,30,99,62,68
151,Kimberley Lynch,20,60,79,55,65,29
152,Craig Cook-King,59,63,63,22,33,63
153,Gemma Jones,74,50,54,44,27,73
154,Ms Marie Campbell,37,46,99,21,49,57
155,Mandy Reynolds,33,26,38,22,67,88
156,Lawrence Hilton,31,67,46,42,75,99
157,Dr Keith Ball,35,31,30,91,65,81
158,Miss Emily Hartley,43,37,100,42,83,63
159,Hazel Shepherd,74,32,43,39,59,76
160,Elliot Parker,34,27,23,80,27,26
161,Simon Johnston,85,50,60,21,59,41
162,Jack Clarke-Chambers,89,73,100,73,29,62
163,Dr Natalie Slater,35,25,82,32,27,80
164,Mr Lee Townsend,74,94,59,87,81,83
165,Dr Shirley Kemp,74,94,51,90,80,71
166,Philip Miller-Matthews,36,100,45,95,20,79
167,Mathew Lucas-Watson,62,41,49,81,55,87
168,Ann Bull,96,29,46,38,43,99
169,Molly Anderson,22,41,83,91,74,48
170,Mohamed Cooper,96,72,75,40,42,64
171,Janet Wilkinson,90,83,60,42,76,42
172,Martin Davis-Wright,22,89,33,51,97,52
173,Deborah Moss,72,92,56,77,63,100
174,Samuel Davis,78,75,28,99,20,35
175,Linda Price,86,35,88,84,89,24
176,Graham Owen,38,45,88,27,23,35
177,Stuart Smith,75,69,76,99,23,98
178,Francesca Smith-Howard,77,69,25,42,64,27
179,Miss Kerry Burgess,45,71,33,54,90,55
180,Sean Knight,68,91,44,70,46,60
181,Mr Dennis Edwards,51,33,40,46,82,97
182,Graham Cameron,78,44,40,100,34,89
183,Anna Sykes,27,31,93,38,75,68
184,Elizabeth Hall,67,35,84,69,96,90
185,Mr Roy Hill,83,98,75,27,48,38
186,Amber Mason,54,81,77,35,62,56
187,Callum Tyler,20,46,50,84,73,98
188,Mr Rhys Curtis,98,36,31,24,71,23
189,Dr Shane Sharp,85,55,59,49,39,25
190,Mrs Melissa Turner,21,99,77,97,98,81
191,Glen Ellis,25,64,32,21,42,55
192,Rhys Burns-Moss,95,99,98,82,42,37
193,Jake Wilson,82,67,92,96,24,33
194,Mitchell Jones,78,66,60,70,48,92
195,Julia Walker-Anderson,73,60,34,48,57,80
196,Lynda Dunn,37,70,58,100,38,28
197,Jay Sharp,49,28,44,38,94,73
198,Lucy Henry-Patel,35,59,34,94,32,54
199,Jasmine Marsh,75,81,90,38,51,61
200,Kayleigh Armstrong,73,45,75,42,43,89
201,Mr Matthew O'Brien,96,51,53,59,57,78
202,Dr Jake Read,52,83,36,54,38,87
203,Chloe Jones,45,86,49,45,97,99
204,Tina Smith,61,21,21,93,97,84
205,Rachel Davies,100,35,78,78,42,67
206,Edward Brown,80,98,96,35,59,89
207,Maurice Evans,37,84,74,71,73,82
208,Ann Smith,93,67,61,66,79,59
209,Jill Vincent,98,64,98,86,21,79
210,Amy Lewis,42,93,55,77,23,64
211,Sean Dodd,88,85,36,73,89,66
212,Allan Marsh,40,38,99,60,31,84
213,Roger Anderson-Harris,93,75,48,37,58,95
214,Michelle Jones,55,85,72,20,31,48
215,Jeremy Jones-Williams,91,74,83,52,33,47
216,Mrs Tracy Jackson,68,81,55,76,65,98
217,Shaun Barber,48,86,33,95,96,61
218,Eileen Sykes,91,30,40,77,35,75
219,Mr Graham Wade,81,89,24,85,37,80
220,Jeremy North,83,74,93,69,48,50
221,Ms Caroline Cooke,49,91,79,58,97,72
222,Ian Hughes,53,93,94,85,35,71
223,Harriet Bull,69,63,100,24,46,30
224,Grace Barlow-Marsh,21,53,31,41,85,49
225,Stewart Turner,85,33,25,81,98,49
226,Samuel Smith-Miah,90,55,90,22,54,20
227,Kimberley Gibbons,74,66,92,44,85,21
228,Leonard Bates-Davison,63,85,60,25,23,64
229,Marion Ali,73,78,83,22,96,78
230,Diana Davis,75,86,52,69,39,23
231,Dr Emily Mitchell,87,76,89,100,67,70
232,Mr Mitchell Moss,84,72,36,66,90,63
233,Richard Elliott-Norris,99,85,95,36,91,97
234,Mr Neil Ferguson,21,67,91,47,27,53
235,Mrs Sylvia Kerr,87,58,48,33,97,55
236,Beth Edwards,40,21,61,26,87,94
237,Ben Saunders,28,37,52,68,22,29
238,Iain Singh,72,66,94,95,52,32
239,Nicholas Roberts,85,48,52,96,87,79
240,Adrian Patel,100,85,29,84,99,74
241,Conor Dean,66,91,92,41,61,69
242,Garry Wood,26,83,24,88,75,88
243,Emma Griffiths,57,99,34,21,65,92
244,Abigail Smith,32,65,59,53,26,57
245,Bruce Cook-Hussain,49,91,63,90,58,73
246,Ms Melanie Welch,31,71,55,64,32,52
247,Stanley James,30,91,87,83,33,30
248,Mr Bruce Hammond,20,63,79,24,28,84
249,Kimberley Willis,77,20,90,60,44,62
250,Mrs Amanda Anderson,93,28,36,80,40,77
251,Ms Jenna Hall,63,80,68,62,42,75
252,Hannah Ward,23,92,41,97,34,49
253,Aaron Read,29,66,68,26,31,59
254,Matthew Williams,78,100,76,49,34,53
255,Elliot Wheeler-Slater,78,66,53,71,26,43
256,Christine Williams,57,32,45,91,94,52
257,Dr Henry Wilkinson,85,59,38,97,44,65
258,Josh Mellor-Evans,48,92,51,66,26,73
259,Joseph Hall,87,33,24,34,39,83
260,Miss Janet Young,85,81,52,92,61,82
261,Jacob Riley-Campbell,84,52,49,86,53,50
262,Lee Hewitt,33,29,47,87,43,89
263,Roy Webster,61,64,63,74,20,69
264,Dr Jennifer Robertson,36,95,97,24,83,66
265,Ashleigh Richards,45,77,54,70,37,37
266,Mr Ross Carter,93,81,78,43,100,94
267,Dr Robin Wallace,42,60,59,33,34,33
268,Sally Hutchinson,89,57,99,81,91,34
269,Stanley Davies,64,33,85,22,43,62
270,Margaret Carter,64,57,98,56,93,99
271,Kim Wilkinson,46,45,40,75,59,34
272,Keith Howard,38,94,73,43,85,94
273,Stacey Bell-Reed,42,85,69,78,70,36
274,Pamela Hammond-Riley,81,38,21,60,23,90
275,Dr Joshua Willis,37,26,67,46,58,71
276,Lawrence Smith-Gill,76,41,53,58,85,29
277,Terence Allen,92,57,33,20,58,40
278,Ashleigh Davies-Parker,32,58,89,93,85,34
279,Robin Moss,83,69,59,38,54,29
280,Dr Abbie Booth,84,59,55,85,43,77
281,Miss Marilyn Hughes,42,21,62,32,50,44
282,Dr David Patel,83,37,66,39,26,81
283,Gregory Miah,87,97,52,96,35,48
284,Pauline Cooper,69,40,35,26,88,40
285,Miss Michelle Cook,51,83,36,26,31,79
286,Michelle Davis,45,78,89,43,68,34
287,Ms Louise Kaur,43,38,64,62,46,22
288,Mr Paul Kerr,28,88,42,65,67,72
289,Frances Marsden-Allen,52,40,39,23,48,49
290,Denis Blake,76,39,55,31,64,99
291,Mrs Kerry Walker,26,89,86,90,21,61
292,Rosemary Holloway,84,83,28,88,68,36
293,Dr Glen Macdonald,31,53,53,64,79,34
294,Dr Conor Williamson,59,41,34,57,98,59
295,Bryan Webb,76,39,23,55,33,40
296,Terry Chambers,87,28,74,79,73,42
297,Dean Wells-Hodgson,24,97,20,46,47,53
298,Ms Rachel Patel,100,71,56,87,68,53
299,Christopher Jones,98,91,26,42,22,94
300,Mrs Lauren Taylor,25,89,59,93,81,30
301,Mr Damien Clements,38,91,36,28,85,62
302,Ms Naomi Lewis,67,52,62,92,98,55
303,Cameron Palmer-Cook,70,69,34,56,47,74
304,Paula Allen,57,63,95,100,50,67
305,Jack Taylor,87,81,39,70,26,42
306,Mr Liam Brown,29,36,98,37,29,94
307,Abigail Smith,86,21,24,99,20,72
308,Grace Ali,65,28,64,37,46,59
309,Kimberley Charlton,56,39,31,62,33,99
310,Aimee Dobson,58,43,52,45,41,24
311,Mitchell Bradley,76,69,80,46,71,92
312,Clive Day-Nash,80,99,56,21,66,38
313,Josh Morgan,58,39,25,95,51,62
314,Alex Archer,29,25,45,87,64,61
315,Marie Hamilton,82,43,51,55,48,74
316,George Hughes,52,58,44,54,85,55
317,Frank Harris-Young,75,52,63,52,40,87
318,Sean Parker,26,79,63,44,55,70
319,Hannah Parsons,91,45,93,52,26,73
320,Mrs Victoria Giles,66,92,74,52,87,90
321,Ricky Robinson,44,74,48,68,85,60
322,Graham Clarke,82,24,89,50,73,33
323,Mr Albert Burton,99,85,28,83,30,40
324,Lisa Murray,46,23,87,59,53,62
325,Gemma Carroll-Connolly,91,31,21,46,96,50
326,Leon John,27,82,32,61,63,84
327,Sean Cooper,66,54,77,39,62,36
328,Mrs Ashleigh Freeman,48,71,28,28,97,93
329,Geoffrey Humphreys,78,67,67,48,41,49
330,Miss Wendy Davies,71,88,23,51,65,45
331,Jessica Mills,72,77,91,68,34,37
332,Donald Kemp,66,48,39,44,70,94
333,Tracy Ward,98,94,43,43,67,91
334,Anthony Cox,100,50,89,34,38,82
335,Sally Barnett,52,80,32,27,66,35
336,Sarah Morgan-Kirby,44,91,87,56,26,96
337,Jeremy Manning-Allen,45,44,46,54,25,24
338,Mr Barry Wilson,40,66,67,27,87,28
339,John Jenkins,100,80,76,90,53,81
340,Maurice Lamb,54,90,100,96,32,22
341,Abdul Woods,98,73,40,72,61,75
342,Dr Graeme Bell,28,75,91,94,75,88
343,Dr Paul Chadwick,78,70,24,56,95,91
344,Philip Harris,49,88,97,52,32,33
345,Stacey Hayward,97,88,43,22,33,32
346,Tony Norman,38,89,92,50,70,67
347,Lynne Booth-Green,32,50,53,71,31,34
348,Jade Cooper,27,84,64,50,82,97
349,Miss Catherine Fox,71,21,40,30,39,75
350,Mrs Charlotte Wilson,47,39,83,72,40,95
351,Mr Jason Parker,38,75,29,45,20,47
352,Paula Patel,22,52,38,97,31,59
353,Colin Hicks,70,45,90,38,81,83
354,Clifford Adams,68,81,42,88,73,94
355,Sian Hamilton,40,51,35,32,100,49
356,Ms Diana Townsend,62,28,59,52,74,29
357,Charlie Little,97,33,77,53,84,25
358,Victoria Turner-Freeman,35,62,38,84,43,71
359,Mr Glen Roberts,61,84,56,86,82,62
360,Ian Lee,31,33,90,93,88,57
361,Dr Brandon Phillips,65,22,61,79,35,63
362,Maureen Gibbs,51,76,48,86,98,84
363,Megan Smith-Smart,27,37,56,46,61,90
364,Hugh Gill,82,29,59,68,33,96
365,Dr Oliver Williams,41,71,73,32,29,46
366,Ms Marion Schofield,55,60,56,80,81,62
367,Shannon Bowen,73,41,49,51,63,54
368,Gareth King,23,96,66,74,40,99
369,Stanley Woods,47,33,41,33,97,98
370,Reece Young,46,52,85,53,49,20
371,Reece Ellis,38,56,77,84,89,31
372,Jessica Walsh-Powell,79,69,100,47,85,93
373,Mr Steven Weston,25,56,24,49,33,68
374,Valerie Morton,42,82,21,78,56,98
375,Jacqueline Booth,87,59,74,94,75,65
376,Mrs Carol Johnston,22,93,21,84,91,22
377,Miss Jessica Watts,36,24,56,93,41,71
378,Miss Jean Williams,93,48,33,26,27,82
379,Robin Fuller,80,52,33,100,80,33
380,Raymond Murray,34,37,46,81,52,89
381,Stuart Hammond,87,66,66,69,64,49
382,Steven Singh,82,83,38,72,55,37
383,Georgia Singh-Norris,68,55,28,40,25,90
384,Mrs Annette Carter,31,20,83,30,45,42
385,Carly Martin,83,81,21,57,45,62
386,June Davison-North,31,23,59,20,39,55
387,Antony Scott,30,90,47,21,97,32
388,Ms Katherine Powell,55,31,28,58,63,33
389,Claire Davey,23,62,44,41,26,36
390,Dale Thompson,28,45,50,23,41,61
391,Rosemary Mitchell,66,24,46,54,57,49
392,Jenna Wright,44,74,26,53,97,80
393,Alice Harrison,95,70,36,44,84,85
394,Toby Wells-Freeman,77,94,67,92,82,29
395,Jason Powell,31,45,35,35,31,42
396,Christian Morrison,97,54,92,41,25,54
397,Mr Peter Lewis,52,96,28,74,95,53
398,Trevor Dale,42,90,90,69,88,46
399,Donald Graham,96,95,39,53,29,58
400,Mr Louis Spencer,52,46,41,28,93,88
401,Gail Russell,60,77,50,27,34,72
402,Mary Morrison,71,36,82,70,31,23
403,Kate Thomas,87,61,62,73,24,62
404,Mr Alan Warren,52,73,33,68,85,54
405,Mr Adam Jones,51,34,53,20,51,59
406,Ian Stewart,70,95,37,48,68,69
407,Iain Kelly,42,62,51,84,57,84
408,Mr Oliver Griffiths,88,73,63,28,62,70
409,Gerard Walker,57,57,39,32,88,85
410,Hugh Walker-O'Brien,85,49,35,28,65,47
411,Katherine Barrett-Powell,89,21,36,52,55,77
412,Ms Brenda Williams,23,76,65,37,86,28
413,Iain Kaur,45,97,58,63,84,54
414,Lydia Williams-Savage,47,73,67,97,87,100
415,Danielle Carey,45,43,35,31,70,70
416,Irene Miles,29,92,56,79,61,97
417,Alexandra Hamilton-Wade,26,83,61,95,72,60
418,Dr Steven Taylor,42,67,31,32,65,59
419,Paige Parkinson,98,84,45,38,27,67
